id;Lien;Nom;Catégorie;Description;Secteur
;https://www.confiance-numerique.fr/lobservatoire-de-la-confiance-numerique/;L'Observatoire de la Confiance Numérique;Coeur de métiers;"
L’Observatoire de la filière de la Confiance Numérique fournit un état des lieux à date de la filière de la Confiance Numérique et mesure la dynamique du secteur chaque année.";Numériques
;https://observatoires.afdas.com/;Observatoire des métiers - AFDAS;OPCO;"Culture, industries créatives, médias, communication, télécommunications, sport, tourisme, loisirs, divertissement. 
Quelles sont les perspectives pour l’emploi et la formation dans votre branche professionnelle ou sur votre territoire? Quels impacts sur vos métiers et les compétences professionnelles?";OPCO
;https://gredeg.univ-cotedazur.fr/vie-scientifique/otesia ;Observatoire des impacts Technologiques Economiques et Sociétaux de l’Intelligence Artificielle;Nouvelles compétences;L'Observatoire des impacts Technologiques Economiques et Sociétaux de l’Intelligence Artificielle de l'Université de nice Côte d'Azur;Intelligence Artificielle
;https://observatory.tec.mx/;Observatoire du futur de l'éducation;Formation tout au long de la vie ;;Education
;https://www.opcomobilites.fr/espace-observatoires;Observatoire des métiers - OPCO MOBILITES;OPCO;L’Espace Observatoires propose les données et les analyses clés sur le champ de l’emploi et de la formation dans le secteur de la mobilité. Il regroupe les principaux travaux réalisés par les observatoires des branches professionnelles et OPCO Mobilités.;OPCO
;https://www.observatoire-metiers-alimentation.fr/etudes-et-publications ;Observatoire des métiers et des qualifications dans les métiers de l’alimentation en détail;Coeur de métiers;"L’observatoire prospectif des métiers et des qualifications dans les métiers de l’alimentation réalise plusieurs types de travaux : des tableaux de bord mis à jour tous les ans pour chacune des 6 branches, des études spécifiques et thématiques. A titre d’exemple, les apprentis des métiers de l’alimentation en 2019, les diagnostics ""impact de la crise sanitaire"" dans les branches alimentaires, le marché de l’emploi dans les métiers de l’alimentation en 2018, une cartographie de l’offre de formation aux métiers de l’alimentation … constituent les dernières études réalisées. Ces travaux sont réalisés avec le soutien financier de l'Opco des entreprises de proximité.";Alimentation 
;https://www.opcoep.fr/observation#Branches-professionnelles;Observatoire des métiers - OPCO EP ;Coeur de métiers;Opco EP produit chaque année pour de nombreuses branches professionnelles des « panoramas de branche » à partir de différentes sources de données internes (Opco EP) et externes (Insee, Urssaf, Infogreffe, Cnam…). Ces panoramas constituent des points de repère emploi formation pour chaque branche. Une prochaine livraison est prévue pour le dernier trimestre 2024.;OPCO
;https://ompl.fr/publications/?_type_publication=etudes ;Observatoire des métiers dans les professions libérales;Coeur de métiers;;Professions Libérales
;https://observatoire-competences-industries.fr/;Observatoire Compétences Industries;OPCO;L’Observatoire Compétences Industries est un dispositif d’observation et de réflexion prospective au service de 29 branches professionnelles de l’industrie française;OPCO
;https://www.opco-sante.fr/lobservatoire-de-lopco-sante;Observatoir des métiers - OPCO SANTE;OPCO ;Produit des informations et des analyses permettant d'anticiper et d'accompagner les politiques d'emploi et de formation;OPCO
;https://observatoire.akto.fr/;Observatoire des métiers et des certifications - AKTO;OPCO ;"L’Observatoire prospectif d’AKTO est l’outil technique paritaire d’information, de connaissance et d’analyse des branches professionnelles des secteurs des services*.

Il rend compte des politiques emploi formation portées par les branches professionnelles, éclaire sur les enjeux de transformation qui impactent les métiers et participe à donner une vision prospective des métiers et des emplois.";OPCO
;https://www.lopcommerce.com/l-observatoire-prospectif-du-commerce/presentation/;Observatoire prospectif du Commerce;OPCO ;L’Observatoire prospectif du commerce réalise des études et développe des outils pour anticiper et accompagner l’évolution des emplois, des métiers et des qualifications. Grâce à la production de données statistiques, il joue un rôle clé auprès des branches professionnelles, mais aussi des entreprises, en leur permettant d’identifier l’impact des changements économiques et technologiques sur les organisations et la gestion des compétences des salariés.;OPCO
;https://www.metiers-btp.fr/;Observatoire des métiers du BTP;Coeur de métiers;"L’Observatoire des métiers du BTP vous propose de découvrir son organisation, ses missions, sa gouvernance et les ressources mises à votre disposition.

L’Observatoire Prospectif des Métiers et des Qualifications (OPMQ) du BTP a été créé le 21 mars 2006 par les Commissions Paritaires Nationales de l’Emploi (CPNE) conjointes du Bâtiment et des Travaux Publics, dans le cadre de la mise en œuvre de l’accord interprofessionnel du 5 décembre 2003 et de la loi du 4 mai 2004 relative à la formation professionnelle tout au long de la vie.

";BTP
;https://www.ove-national.education.fr/lobservatoire/;Observatoire Nationale vie étudiantes;Formation tout au long de la vie ;"Enquête sur le bien-être et les habitudes des étudiant·e·s en matière de santé
Sommeil, alimentation, tabac, cannabis et cigarette électronique, alcool, santé psychologique, vie affective, dépenses de santé...
";Education
;https://www.observatoire-metiers-banque.fr/;Observatoire des métiers de la banque;Coeur de métiers;L’Observatoire, est un outil technique paritaire au service des partenaires sociaux de la Branche de la Banque, des entreprises, des représentants du personnel, des salarié(e)s et de toute personne souhaitant connaître les métiers exercés dans la Banque.;Finances
